topic,law_title,date,law_url
Rwanda & Policy,Deadline extended: Call for evidence: An inspection of asylum casework (2025),2025-06-30,https://www.gov.uk/government/news/call-for-evidence-an-inspection-of-asylum-casework-2025
Visa Issues,Adults at risk in immigration detention (accessible),2025-06-27,https://www.gov.uk/government/publications/offender-management/adults-at-risk-in-immigration-detention-accessible
Visa Issues,Accommodation under Schedule 10 to the Immigration Act 2016 (accessible),2025-06-27,https://www.gov.uk/government/publications/offender-management/accommodation-under-schedule-10-to-the-immigration-act-2016-accessible
Visa Issues,Finding and using an Immigration Advice Authority regulated organisation,2025-06-27,https://www.gov.uk/government/publications/finding-and-using-an-oisc-regulated-organisation/finding-and-using-an-oisc-regulated-organisation
Visa Issues,Immigration bail conditions: electronic monitoring (EM) expansion pilot (accessible),2025-06-27,https://www.gov.uk/government/publications/offender-management/immigration-bail-conditions-electronic-monitoring-em-expansion-pilot-accessible
Visa Issues,Immigration bail (accessible),2025-06-27,https://www.gov.uk/government/publications/offender-management/immigration-bail-accessible
Visa Issues,Finding and using a regulated immigration advice organisation,2025-06-27,https://www.gov.uk/government/publications/finding-and-using-an-oisc-regulated-organisation
Visa Issues,"Immigration system statistics, year ending March 2026",2025-06-26,https://www.gov.uk/government/statistics/announcements/immigration-system-statistics-year-ending-march-2026
Visa Issues,"Immigration system statistics, year ending December 2025",2025-06-26,https://www.gov.uk/government/statistics/announcements/immigration-system-statistics-year-ending-december-2025
Visa Issues,"Immigration system statistics, year ending September 2026",2025-06-26,https://www.gov.uk/government/statistics/announcements/immigration-system-statistics-year-ending-september-2026
Visa Issues,"Immigration system statistics, year ending June 2026",2025-06-26,https://www.gov.uk/government/statistics/announcements/immigration-system-statistics-year-ending-june-2026
Rwanda & Policy,How many people are granted asylum in the UK?,2025-06-25,https://www.gov.uk/government/statistics/immigration-system-statistics-year-ending-march-2025/how-many-people-are-granted-asylum-in-the-uk
Rwanda & Policy,How many people claim asylum in the UK?,2025-06-25,https://www.gov.uk/government/statistics/immigration-system-statistics-year-ending-march-2025/how-many-people-claim-asylum-in-the-uk
Rwanda & Policy,How many cases are in the UK asylum system?,2025-06-25,https://www.gov.uk/government/statistics/immigration-system-statistics-year-ending-march-2025/how-many-cases-are-in-the-uk-asylum-system
Visa Issues,How many people are detained under immigration powers in the UK?,2025-06-25,https://www.gov.uk/government/statistics/immigration-system-statistics-year-ending-march-2025/how-many-people-are-detained-under-immigration-powers-in-the-uk
Visa Issues,"Immigration system statistics, year ending March 2025",2025-06-25,https://www.gov.uk/government/statistics/immigration-system-statistics-year-ending-march-2025
Visa Issues,"Pre-release access list for: Immigration system statistics, year ending March 2025",2025-06-25,https://www.gov.uk/government/statistics/immigration-system-statistics-year-ending-march-2025/pre-release-access-list-for-immigration-system-statistics-year-ending-march-2025
Visa Issues,"Statement of changes to the Immigration Rules: HC 836, 24 June 2025",2025-06-24,https://www.gov.uk/government/publications/statement-of-changes-to-the-immigration-rules-hc-836-24-june-2025
Visa Issues,Immigration Health Surcharge: caseworker guidance (accessible),2025-06-24,https://www.gov.uk/government/publications/immigration-health-surcharge-caseworker-guidance/immigration-health-surcharge-caseworker-guidance-accessible
Visa Issues,Immigration Health Surcharge: caseworker guidance,2025-06-24,https://www.gov.uk/government/publications/immigration-health-surcharge-caseworker-guidance
Visa Issues,"Explanatory memorandum to the statement of changes to the Immigration Rules: HC 836, 24 June 2025 (accessible)",2025-06-24,https://www.gov.uk/government/publications/statement-of-changes-to-the-immigration-rules-hc-836-24-june-2025/explanatory-memorandum-to-the-statement-of-changes-to-the-immigration-rules-hc-836-24-june-2025-accessible
Visa Issues,The Philippines: tuberculosis test clinics for a UK visa,2025-06-24,https://www.gov.uk/government/publications/tuberculosis-test-for-a-uk-visa-clinics-in-the-philippines
Visa Issues,"Statement of changes to the Immigration Rules: HC 836, 24 June 2025 (accessible)",2025-06-24,https://www.gov.uk/government/publications/statement-of-changes-to-the-immigration-rules-hc-836-24-june-2025/statement-of-changes-to-the-immigration-rules-hc-836-24-june-2025-accessible
Home Office Complaints,How to create a UKVI account and access your eVisa: video,2025-06-23,https://www.gov.uk/government/publications/how-to-create-a-ukvi-account-and-access-your-evisa-video
Settled Status,How to apply from pre-settled to settled status under the EU Settlement Scheme: video,2025-06-23,https://www.gov.uk/government/publications/how-to-apply-from-pre-settled-to-settled-status-under-the-eu-settlement-scheme-video
BRP & Digital ID,"How to create, link and access your eVisa with a BRP: video",2025-06-23,https://www.gov.uk/government/publications/how-to-create-link-and-access-your-evisa-in-3-steps-video
BRP & Digital ID,"How to create, link and access your eVisa with no identity document: video",2025-06-23,https://www.gov.uk/government/publications/create-link-and-access-your-evisa-with-no-identity-document-video/how-to-create-link-and-access-your-evisa-with-no-identity-document-video
BRP & Digital ID,How to create a UKVI account and access your eVisa video,2025-06-23,https://www.gov.uk/government/publications/how-to-create-a-ukvi-account-and-access-your-evisa-video/how-to-create-a-ukvi-account-and-access-your-evisa-video
BRP & Digital ID,How to create a UKVI account and access your eVisa: video,2025-06-23,https://www.gov.uk/government/publications/how-to-create-a-ukvi-account-and-access-your-evisa-video
BRP & Digital ID,"How to create, link and access your eVisa with no identity document: video",2025-06-23,https://www.gov.uk/government/publications/create-link-and-access-your-evisa-with-no-identity-document-video
BRP & Digital ID,"How to create, link and access your eVisa with a passport: video",2025-06-23,https://www.gov.uk/government/publications/create-link-and-access-your-evisa-with-a-passport-using-the-id-check-app-video
BRP & Digital ID,"Create, link and access your eVisa with a BRP using Web ID check: video",2025-06-23,https://www.gov.uk/government/publications/how-to-create-link-and-access-your-evisa-in-3-steps-video/create-link-and-access-your-evisa-with-a-brp-using-web-id-check-video
BRP & Digital ID,"How to create, link and access your eVisa with a passport using Web ID check: video",2025-06-23,https://www.gov.uk/government/publications/create-link-and-access-your-evisa-with-a-passport-using-the-id-check-app-video/how-to-create-link-and-access-your-evisa-with-a-passport-using-web-id-check-video
BRP & Digital ID,"Create, link and access your eVisa with a BRP using ID Check app: video",2025-06-23,https://www.gov.uk/government/publications/how-to-create-link-and-access-your-evisa-in-3-steps-video/create-link-and-access-your-evisa-with-a-brp-using-id-check-app-video
BRP & Digital ID,"How to create, link and access your eVisa with a passport using ID Check App: video",2025-06-23,https://www.gov.uk/government/publications/create-link-and-access-your-evisa-with-a-passport-using-the-id-check-app-video/how-to-create-link-and-access-your-evisa-with-a-passport-using-id-check-app-video
Home Office Complaints,How to create a UKVI account and access your eVisa video,2025-06-23,https://www.gov.uk/government/publications/how-to-create-a-ukvi-account-and-access-your-evisa-video/how-to-create-a-ukvi-account-and-access-your-evisa-video
